 Vext Jext convIndex P Jphoto Jdir JBulkSRH JIntLeft JIntRight JminLeft JminRight JShunt
 0.000000000000E+000 -1.106354773111E+002 1  0.000000000000E+000  1.153584000000E+002  4.474592294617E-002  3.776619376607E+000  2.075638990384E-002  2.227105766476E-002  2.030134233051E-014  6.937323396130E-017  0.000000000000E+000
 5.000000000000E-002 -1.104919314403E+002 1  0.000000000000E+000  1.153584000000E+002  5.110337797253E-002  3.909733799847E+000  2.201423570960E-002  2.366843425420E-002  2.292146533508E-014  8.242226121825E-017  0.000000000000E+000
 1.000000000000E-001 -1.103361680840E+002 1  0.000000000000E+000  1.153584000000E+002  5.867328925705E-002  4.053040964513E+000  2.339431195194E-002  2.520606267428E-002  2.589358409723E-014  9.789938177567E-017  0.000000000000E+000
 1.500000000000E-001 -1.101671670003E+002 1  0.000000000000E+000  1.153584000000E+002  6.773455142142E-002  4.207793619341E+000  2.491302497271E-002  2.690334680911E-002  2.927009662834E-014  1.162600794226E-016  0.000000000000E+000
 2.000000000000E-001 -1.099828378661E+002 1  0.000000000000E+000  1.153584000000E+002  7.864048279430E-002  4.375462085417E+000  2.658960164563E-002  2.878312242418E-002  3.311266591665E-014  1.380497049575E-016  0.000000000000E+000
 2.500000000000E-001 -1.097809095991E+002 1  0.000000000000E+000  1.153584000000E+002  9.184152712676E-002  4.557784038868E+000  2.844668712041E-002  3.087239693749E-002  3.749422023925E-014  1.639234131146E-016  0.000000000000E+000
 3.000000000000E-001 -1.095586375812E+002 1  0.000000000000E+000  1.153584000000E+002  1.079158163306E-001  4.756828555449E+000  3.051108854148E-002  3.320327849189E-002  4.250146892056E-014  1.946713609970E-016  0.000000000000E+000
 3.500000000000E-001 -1.093126747322E+002 1  0.000000000000E+000  1.153584000000E+002  1.276106738474E-001  4.975079479150E+000  3.281471190333E-002  3.581414891214E-002  4.823808641157E-014  2.312508185918E-016  0.000000000000E+000
 4.000000000000E-001 -1.090389009296E+002 1  0.000000000000E+000  1.153584000000E+002  1.518994934591E-001  5.215545221573E+000  3.539574938954E-002  3.875115447001E-002  5.482876973830E-014  2.748274341308E-016  0.000000000000E+000
 4.500000000000E-001 -1.087321926669E+002 1  0.000000000000E+000  1.153584000000E+002  1.820604554486E-001  5.481905237453E+000  3.830019490469E-002  4.207011334650E-002  6.242444565893E-014  3.268287265728E-016  0.000000000000E+000
 5.000000000000E-001 -1.083861083206E+002 1  0.000000000000E+000  1.153584000000E+002  2.197866086823E-001  5.778708182941E+000  4.158379298865E-002  4.583897324910E-002  7.120900307349E-014  3.890140511267E-016  0.000000000000E+000
 5.500000000000E-001 -1.079924520192E+002 1  0.000000000000E+000  1.153584000000E+002  2.673415498988E-001  6.111644147696E+000  4.531456463739E-002  5.014100054627E-002  8.140806529545E-014  4.635669631951E-016  0.000000000000E+000
 6.000000000000E-001 -1.075406599849E+002 1  0.000000000000E+000  1.153584000000E+002  3.277822483767E-001  6.487925075035E+000  4.957610752699E-002  5.507894910101E-002  9.330051340716E-014  5.532183408962E-016  0.000000000000E+000
 6.500000000000E-001 -1.070169223743E+002 1  0.000000000000E+000  1.153584000000E+002  4.052821285600E-001  6.916826633129E+000  5.447194477333E-002  6.078055097322E-002  1.072337523518E-013  6.614122118631E-016  0.000000000000E+000
