 t Vext Jext convIndex P Jphoto Jdir JBulkSRHn JBulkSHRp JIntLeftn JIntLeftp JIntRightn JintRightp JminLeft JminRight JShunt Jdndt Jdpdt Jnion Jpion JD
 0.00000000000E+0000 -2.00000000000E+0000 -2.31849147502E+0002 1  0.00000000000E+0000  2.37950495050E+0002  1.93962708264E-0006  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  1.09594946273E+0000  1.09598984346E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000
 1.04761575300E-0008 -2.00000000000E+0000 -4.68224572392E+0001 1  0.00000000000E+0000  0.00000000000E+0000  4.26742913416E-0008  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  1.27714306110E-0002  1.27722112589E-0002  0.00000000000E+0000 -6.55836907511E+0001 -6.55824326472E+0001  0.00000000000E+0000  0.00000000000E+0000  3.66018293493E-0005
 1.32194114800E-0008 -2.00000000000E+0000 -2.08768421116E+0001 1  0.00000000000E+0000  0.00000000000E+0000  4.75089658325E-0009  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  6.27864563527E-0004  6.27910501285E-0004  0.00000000000E+0000 -3.51193990765E+0001 -3.51200419457E+0001  0.00000000000E+0000  0.00000000000E+0000  4.39255463602E-0005
 1.66810053700E-0008 -2.00000000000E+0000 -7.23954416025E+0000 1  0.00000000000E+0000  0.00000000000E+0000  2.75312719321E-0010  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  2.71925431977E-0005  2.71919013822E-0005  0.00000000000E+0000 -1.46274403603E+0001 -1.46299560493E+0001  0.00000000000E+0000  0.00000000000E+0000  3.92877487914E-0005
 2.10490414500E-0008 -2.00000000000E+0000 -1.89705076229E+0000 1  0.00000000000E+0000  0.00000000000E+0000  8.20697636210E-0012  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  1.04478286254E-0006  1.04321422718E-0006  0.00000000000E+0000 -4.54052805141E+0000 -4.54278111598E+0000  0.00000000000E+0000  0.00000000000E+0000  2.58804501733E-0005
 2.65608778300E-0008 -2.00000000000E+0000 -3.68303209456E-0001 1  0.00000000000E+0000  0.00000000000E+0000  1.26428792938E-0013  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  3.49325586874E-0008  3.38758601435E-0008  0.00000000000E+0000 -1.02931492813E+0000 -1.03050126729E+0000  0.00000000000E+0000  0.00000000000E+0000  1.31979867772E-0005
 3.35160265100E-0008 -2.00000000000E+0000 -5.29605511285E-0002 1  0.00000000000E+0000  0.00000000000E+0000  1.27428487558E-0015  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  1.76527229616E-0009  9.57293387895E-0010  0.00000000000E+0000 -1.68147576404E-0001 -1.68571528070E-0001  0.00000000000E+0000  0.00000000000E+0000  5.79104183451E-0006
 4.22924287400E-0008 -2.00000000000E+0000 -5.76798716016E-0003 1  0.00000000000E+0000  0.00000000000E+0000  2.16803342461E-0017  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  6.12341496576E-0010  2.23936344812E-0011  0.00000000000E+0000 -1.98957765929E-0002 -2.00387926650E-0002  0.00000000000E+0000  0.00000000000E+0000  2.87445209185E-0006
 5.33669923100E-0008 -2.00000000000E+0000 -5.70430344800E-0004 1  0.00000000000E+0000  0.00000000000E+0000  8.37553108006E-0019  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  4.22711011131E-0010  4.28102869526E-0013  0.00000000000E+0000 -1.71516730928E-0003 -1.77033918986E-0003  0.00000000000E+0000  0.00000000000E+0000  1.64710823858E-0006
 6.73415065800E-0008 -2.00000000000E+0000 -1.15440240891E-0004 1  0.00000000000E+0000  0.00000000000E+0000  3.05529364054E-0020  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  3.03051679141E-0010  6.64187751556E-0015  0.00000000000E+0000 -1.08250334710E-0004 -1.33552099301E-0004  0.00000000000E+0000  0.00000000000E+0000  1.02685088267E-0006
 8.49753435900E-0008 -2.00000000000E+0000 -6.24551104619E-0005 1  0.00000000000E+0000  0.00000000000E+0000  1.35848602402E-0021  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  2.21017352133E-0010  8.12602444166E-0017  0.00000000000E+0000 -5.03053577483E-0006 -1.72850593752E-0005  0.00000000000E+0000  0.00000000000E+0000  6.72524099785E-0007
